,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,EVENT
38,,Mackenzie Hughes,1,"$51,000",The Memorial Tournament
39,,Martin Laird,1,"$51,000",The Memorial Tournament
40,T48,David Lipsky,1,"$51,000",The Memorial Tournament
41,T57,Matthew NeSmith,1,"$51,000",The Memorial Tournament
42,,J.T. Poston,1,"$51,000",The Memorial Tournament
43,,Jhonattan Vegas,1,"$51,000",The Memorial Tournament
44,,Matt Kuchar,1,"$37,800",The Memorial Tournament
45,,Sepp Straka,1,"$37,800",The Memorial Tournament
46,T40,Adam Svensson,1,"$37,800",The Memorial Tournament
47,T48,Lucas Herbert,1,"$32,040",The Memorial Tournament
48,,David Lingmerth,1,"$32,040",The Memorial Tournament
49,,Cameron Tringale,1,"$32,040",The Memorial Tournament
50,,Lanto Griffin,1,"$29,760",The Memorial Tournament
51,T21,Viktor Hovland,1,"$29,760",The Memorial Tournament
52,T7,Cam Davis,1,"$27,994",The Memorial Tournament
53,T15,Chris Kirk,1,"$27,994",The Memorial Tournament
54,,K.H. Lee,1,"$27,994",The Memorial Tournament
55,T57,Troy Merritt,1,"$27,994",The Memorial Tournament
56,T52,C.T. Pan,1,"$27,994",The Memorial Tournament
57,T7,Patrick Reed,1,"$27,994",The Memorial Tournament
58,,Camilo Villegas,1,"$27,994",The Memorial Tournament
59,,Doug Ghim,1,"$26,640",The Memorial Tournament
60,T40,Lucas Glover,1,"$26,640",The Memorial Tournament
61,T57,Brandt Snedeker,1,"$26,640",The Memorial Tournament
62,,Cameron Young,1,"$26,640",The Memorial Tournament
63,T57,Rickie Fowler,1,"$25,800",The Memorial Tournament
64,,Kramer Hickok,1,"$25,800",The Memorial Tournament
65,,Carlos Ortiz,1,"$25,800",The Memorial Tournament
66,,Adam Scott,1,"$25,200",The Memorial Tournament
67,,Brandon Wu,1,"$24,840",The Memorial Tournament
68,,Ryan Moore,1,"$24,600",The Memorial Tournament
0,T18,Rory McIlroy,1,"$1,566,000",RBC Canadian Open
1,,Tony Finau,1,"$948,300",RBC Canadian Open
2,,Justin Thomas,1,"$600,300",RBC Canadian Open
3,,Sam Burns,1,"$391,500",RBC Canadian Open
4,,Justin Rose,1,"$391,500",RBC Canadian Open
5,T13,Corey Conners,1,"$315,375",RBC Canadian Open
6,T37,Wyndham Clark,1,"$273,325",RBC Canadian Open
7,T53,Chris Kirk,1,"$273,325",RBC Canadian Open
8,T18,Keith Mitchell,1,"$273,325",RBC Canadian Open
9,,Matt Fitzpatrick,1,"$219,675",RBC Canadian Open
10,,Danny Lee,1,"$219,675",RBC Canadian Open
11,T32,Shane Lowry,1,"$219,675",RBC Canadian Open
12,,Austin Cook,1,"$160,515",RBC Canadian Open
13,,Kelly Kraft,1,"$160,515",RBC Canadian Open
14,T26,Aaron Rai,1,"$160,515",RBC Canadian Open
15,,Brendon Todd,1,"$160,515",RBC Canadian Open
16,,Harold Varner III,1,"$160,515",RBC Canadian Open
17,T60,Doug Ghim,1,"$123,975",RBC Canadian Open
18,,Patrick Rodgers,1,"$123,975",RBC Canadian Open
19,,Scottie Scheffler,1,"$123,975",RBC Canadian Open
20,,Adam Long,1,"$94,830",RBC Canadian Open
21,,Scott Piercy,1,"$94,830",RBC Canadian Open
22,,Alex Smalley,1,"$94,830",RBC Canadian Open
23,T45,Adam Svensson,1,"$94,830",RBC Canadian Open
24,,John Huh,1,"$71,485",RBC Canadian Open
25,,Jim Knous,1,"$71,485",RBC Canadian Open
26,,Sebastián Muñoz,1,"$71,485",RBC Canadian Open
27,,Jonas Blixt,1,"$57,047",RBC Canadian Open
28,T32,Emiliano Grillo,1,"$57,047",RBC Canadian Open
29,T37,Mackenzie Hughes,1,"$57,047",RBC Canadian Open
30,,Hank Lebioda,1,"$57,047",RBC Canadian Open
31,,Chase Seiffert,1,"$57,047",RBC Canadian Open
32,,Nick Taylor,1,"$57,047",RBC Canadian Open
33,,Danny Willett,1,"$57,047",RBC Canadian Open
34,,Ryan Armour,1,"$39,730",RBC Canadian Open
35,T18,Adam Hadwin,1,"$39,730",RBC Canadian Open
36,,Nick Hardy,1,"$39,730",RBC Canadian Open
37,,Charley Hoffman,1,"$39,730",RBC Canadian Open
38,,Justin Lower,1,"$39,730",RBC Canadian Open
39,69,Ryan Moore,1,"$39,730",RBC Canadian Open
40,,Seung-Yul Noh,1,"$39,730",RBC Canadian Open
41,,Matt Wallace,1,"$39,730",RBC Canadian Open
42,,Vince Whaley,1,"$39,730",RBC Canadian Open
43,,Mark Hubbard,1,"$30,015",RBC Canadian Open
44,,Austin Smotherman,1,"$30,015",RBC Canadian Open
45,,Paul Barjon,1,"$26,535",RBC Canadian Open
46,T64,Carlos Ortiz,1,"$26,535",RBC Canadian Open
47,,Lee Hodges,1,"$22,568",RBC Canadian Open
48,T13,Cameron Smith,1,"$22,568",RBC Canadian Open
49,T60,Brandt Snedeker,1,"$22,568",RBC Canadian Open
50,,Vaughn Taylor,1,"$22,568",RBC Canadian Open
51,,Brett Drewitt,1,"$20,387",RBC Canadian Open
52,,Ben Martin,1,"$20,387",RBC Canadian Open
53,,Robert Streb,1,"$20,387",RBC Canadian Open
54,T5,Sahith Theegala,1,"$20,387",RBC Canadian Open
55,,Bo Van Pelt,1,"$20,387",RBC Canadian Open
56,T37,Jhonattan Vegas,1,"$20,387",RBC Canadian Open
57,,J.J. Henry,1,"$19,662",RBC Canadian Open
58,,Cameron Percy,1,"$19,662",RBC Canadian Open
59,,Dylan Frittelli,1,"$19,314",RBC Canadian Open
60,T64,Kramer Hickok,1,"$19,314",RBC Canadian Open
61,,Ben Crane,1,"$19,053",RBC Canadian Open
62,,Brandon Hagy,1,"$18,531",RBC Canadian Open
63,,Andrew Novak,1,"$18,531",RBC Canadian Open
64,,Sean O'Hair,1,"$18,531",RBC Canadian Open
65,,David Skinns,1,"$18,531",RBC Canadian Open
66,,Trey Mullinax,1,"$18,009",RBC Canadian Open
67,,Dawie van der Walt,1,"$17,835",RBC Canadian Open
0,T25,K.H. Lee,1,"$1,638,000",AT&T Bryon Nelson
1,,Jordan Spieth,1,"$991,900",AT&T Bryon Nelson
2,,Hideki Matsuyama,1,"$536,900",AT&T Bryon Nelson
3,,Sebastián Muñoz,1,"$536,900",AT&T Bryon Nelson
4,,Ryan Palmer,1,"$336,700",AT&T Bryon Nelson
5,,Xander Schauffele,1,"$336,700",AT&T Bryon Nelson
6,,Justin Thomas,1,"$336,700",AT&T Bryon Nelson
7,,Charl Schwartzel,1,"$284,375",AT&T Bryon Nelson
8,T9,James Hahn,1,"$247,975",AT&T Bryon Nelson
9,T50,Peter Malnati,1,"$247,975",AT&T Bryon Nelson
10,,Davis Riley,1,"$247,975",AT&T Bryon Nelson
11,,Christiaan Bezuidenhout,1,"$193,375",AT&T Bryon Nelson
12,T48,Matt Kuchar,1,"$193,375",AT&T Bryon Nelson
13,,Alex Noren,1,"$193,375",AT&T Bryon Nelson
14,,Brice Garnett,1,"$161,525",AT&T Bryon Nelson
15,,Scottie Scheffler,1,"$161,525",AT&T Bryon Nelson
16,,Tom Hoge,1,"$116,708",AT&T Bryon Nelson
17,,Beau Hossler,1,"$116,708",AT&T Bryon Nelson
18,,Jason Kokrak,1,"$116,708",AT&T Bryon Nelson
19,,Nate Lashley,1,"$116,708",AT&T Bryon Nelson
20,,Francesco Molinari,1,"$116,708",AT&T Bryon Nelson
21,,Mito Pereira,1,"$116,708",AT&T Bryon Nelson
22,,Seamus Power,1,"$116,708",AT&T Bryon Nelson
23,,David Lipsky,1,"$68,445",AT&T Bryon Nelson
24,,Joaquin Niemann,1,"$68,445",AT&T Bryon Nelson
25,T40,Rory Sabbatini,1,"$68,445",AT&T Bryon Nelson
26,T25,Austin Smotherman,1,"$68,445",AT&T Bryon Nelson
27,,Scott Stallings,1,"$68,445",AT&T Bryon Nelson
28,T63,Michael Thompson,1,"$68,445",AT&T Bryon Nelson
29,,Vince Whaley,1,"$68,445",AT&T Bryon Nelson
30,,Mark Hubbard,1,"$50,808",AT&T Bryon Nelson
31,,Maverick McNealy,1,"$50,808",AT&T Bryon Nelson
32,T63,Taylor Moore,1,"$50,808",AT&T Bryon Nelson
33,,Trey Mullinax,1,"$50,808",AT&T Bryon Nelson
34,,Patrick Rodgers,1,"$50,808",AT&T Bryon Nelson
35,,Adam Scott,1,"$50,808",AT&T Bryon Nelson
36,,Cameron Champ,1,"$36,855",AT&T Bryon Nelson
37,,Branden Grace,1,"$36,855",AT&T Bryon Nelson
38,T6,Stephan Jaeger,1,"$36,855",AT&T Bryon Nelson
39,,Carlos Ortiz,1,"$36,855",AT&T Bryon Nelson
40,,Pat Perez,1,"$36,855",AT&T Bryon Nelson
41,,David Skinns,1,"$36,855",AT&T Bryon Nelson
42,,J.J. Spaun,1,"$36,855",AT&T Bryon Nelson
43,,Emiliano Grillo,1,"$25,680",AT&T Bryon Nelson
44,T31,Justin Lower,1,"$25,680",AT&T Bryon Nelson
45,,Andrew Novak,1,"$25,680",AT&T Bryon Nelson
46,,Aaron Rai,1,"$25,680",AT&T Bryon Nelson
47,T55,Callum Tarren,1,"$25,680",AT&T Bryon Nelson
48,,Joseph Bramlett,1,"$21,635",AT&T Bryon Nelson
49,T15,Jason Day,1,"$21,635",AT&T Bryon Nelson
50,T6,Lanto Griffin,1,"$21,635",AT&T Bryon Nelson
51,,Marc Leishman,1,"$21,635",AT&T Bryon Nelson
52,T31,Matthew NeSmith,1,"$21,635",AT&T Bryon Nelson
53,,Aaron Wise,1,"$21,635",AT&T Bryon Nelson
54,,Jared Wolfe,1,"$21,635",AT&T Bryon Nelson
55,,Brandon Wu,1,"$21,635",AT&T Bryon Nelson
56,,Tyler Duncan,1,"$20,202",AT&T Bryon Nelson
57,,Tommy Fleetwood,1,"$20,202",AT&T Bryon Nelson
58,,Dustin Johnson,1,"$20,202",AT&T Bryon Nelson
59,,Ian Poulter,1,"$20,202",AT&T Bryon Nelson
60,,Matthias Schwab,1,"$20,202",AT&T Bryon Nelson
61,T15,Jhonattan Vegas,1,"$20,202",AT&T Bryon Nelson
62,T50,Paul Barjon,1,"$19,292",AT&T Bryon Nelson
63,,Wesley Bryan,1,"$19,292",AT&T Bryon Nelson
64,,Bill Haas,1,"$19,292",AT&T Bryon Nelson
65,,Peter Uihlein,1,"$19,292",AT&T Bryon Nelson
66,T45,Dylan Frittelli,1,"$18,564",AT&T Bryon Nelson
67,,Chesson Hadley,1,"$18,564",AT&T Bryon Nelson
68,,Seth Reeves,1,"$18,564",AT&T Bryon Nelson
69,,Adam Svensson,1,"$18,564",AT&T Bryon Nelson
70,T36,Michael Gligic,1,"$17,927",AT&T Bryon Nelson
71,,Sepp Straka,1,"$17,927",AT&T Bryon Nelson
72,,Vaughn Taylor,1,"$17,927",AT&T Bryon Nelson
73,,Kiradech Aphibarnrat,1,"$17,381",AT&T Bryon Nelson
74,,Keith Mitchell,1,"$17,381",AT&T Bryon Nelson
75,,Martin Trainer,1,"$17,381",AT&T Bryon Nelson
76,T9,Adam Schenk,1,"$16,926",AT&T Bryon Nelson
77,,Sahith Theegala,1,"$16,926",AT&T Bryon Nelson
78,T40,Dawie van der Walt,1,"$16,562",AT&T Bryon Nelson
79,,Patton Kizzire,1,"$16,198",AT&T Bryon Nelson
80,,Max McGreevy,1,"$16,198",AT&T Bryon Nelson
0,T14,Xander Schauffele,1,"$1,494,000",Travelers Championship
1,,J.T. Poston,1,"$738,700",Travelers Championship
2,,Sahith Theegala,1,"$738,700",Travelers Championship
3,,Chesson Hadley,1,"$406,700",Travelers Championship
4,,Kevin Kisner,1,"$320,588",Travelers Championship
5,,Keith Mitchell,1,"$320,588",Travelers Championship
6,T14,Nick Hardy,1,"$243,605",Travelers Championship
7,36,Brian Harman,1,"$243,605",Travelers Championship
8,,William McGirt,1,"$243,605",Travelers Championship
9,,Chez Reavie,1,"$243,605",Travelers Championship
10,,Scott Stallings,1,"$243,605",Travelers Championship
11,T14,Patrick Cantlay,1,"$159,775",Travelers Championship
12,,Tony Finau,1,"$159,775",Travelers Championship
13,,John Huh,1,"$159,775",Travelers Championship
14,,Martin Laird,1,"$159,775",Travelers Championship
15,T2,Scottie Scheffler,1,"$159,775",Travelers Championship
16,,Webb Simpson,1,"$159,775",Travelers Championship
17,T7,Keegan Bradley,1,"$106,102",Travelers Championship
18,44,Harris English,1,"$106,102",Travelers Championship
19,T30,K.H. Lee,1,"$106,102",Travelers Championship
20,,Luke List,1,"$106,102",Travelers Championship
21,T5,Rory McIlroy,1,"$106,102",Travelers Championship
22,T30,Matthew NeSmith,1,"$106,102",Travelers Championship
23,,Ryan Armour,1,"$61,835",Travelers Championship
24,,Bill Haas,1,"$61,835",Travelers Championship
25,,Lee Hodges,1,"$61,835",Travelers Championship
26,T22,Mackenzie Hughes,1,"$61,835",Travelers Championship
27,,Nate Lashley,1,"$61,835",Travelers Championship
28,,Adam Long,1,"$61,835",Travelers Championship
29,T12,Seamus Power,1,"$61,835",Travelers Championship
30,,Brendan Steele,1,"$61,835",Travelers Championship
31,,Kevin Streelman,1,"$61,835",Travelers Championship
32,,Adam Svensson,1,"$61,835",Travelers Championship
33,,Wyndham Clark,1,"$43,243",Travelers Championship
34,,Charles Howell III,1,"$43,243",Travelers Championship
35,,Sam Ryder,1,"$43,243",Travelers Championship
36,,Robert Streb,1,"$43,243",Travelers Championship
37,,Michael Gligic,1,"$36,105",Travelers Championship
38,,Aaron Rai,1,"$36,105",Travelers Championship
39,,Matthew Wolff,1,"$36,105",Travelers Championship
40,T14,Hayden Buckley,1,"$31,125",Travelers Championship
41,,Harold Varner III,1,"$31,125",Travelers Championship
42,,Tyler Duncan,1,"$23,679",Travelers Championship
43,,Tommy Fleetwood,1,"$23,679",Travelers Championship
44,,Mark Hubbard,1,"$23,679",Travelers Championship
45,,Andrew Novak,1,"$23,679",Travelers Championship
46,T26,Andrew Putnam,1,"$23,679",Travelers Championship
47,,Matt Wallace,1,"$23,679",Travelers Championship
48,,Paul Barjon,1,"$20,003",Travelers Championship
49,,Stewart Cink,1,"$20,003",Travelers Championship
50,,Matthias Schwab,1,"$20,003",Travelers Championship
51,,Jonas Blixt,1,"$19,007",Travelers Championship
52,T30,Joseph Bramlett,1,"$19,007",Travelers Championship
53,,Cam Davis,1,"$19,007",Travelers Championship
54,,Luke Donald,1,"$19,007",Travelers Championship
55,,Kelly Kraft,1,"$19,007",Travelers Championship
56,,Hank Lebioda,1,"$19,007",Travelers Championship
57,,Taylor Moore,1,"$19,007",Travelers Championship
58,,Austin Cook,1,"$18,343",Travelers Championship
59,,Patton Kizzire,1,"$18,011",Travelers Championship
60,,Peter Malnati,1,"$18,011",Travelers Championship
61,T26,Davis Riley,1,"$18,011",Travelers Championship
62,,Kevin Tway,1,"$17,679",Travelers Championship
63,,Morgan Hoffmann,1,"$17,513",Travelers Championship
64,T10,Joel Dahmen,1,"$17,347",Travelers Championship
65,,Lucas Glover,1,"$17,098",Travelers Championship
66,,Harry Higgs,1,"$17,098",Travelers Championship
0,,Max Homa,1,"$1,620,000",Wells Fargo Championship
1,,Keegan Bradley,1,"$681,000",Wells Fargo Championship
2,,Matt Fitzpatrick,1,"$681,000",Wells Fargo Championship
3,,Cameron Young,1,"$681,000",Wells Fargo Championship
4,,Rory McIlroy,1,"$369,000",Wells Fargo Championship
5,T15,Lanto Griffin,1,"$303,750",Wells Fargo Championship
6,T15,Stephan Jaeger,1,"$303,750",Wells Fargo Championship
7,T15,Anirban Lahiri,1,"$303,750",Wells Fargo Championship
8,,Stewart Cink,1,"$218,250",Wells Fargo Championship
9,,James Hahn,1,"$218,250",Wells Fargo Championship
10,,Brian Harman,1,"$218,250",Wells Fargo Championship
11,,Mackenzie Hughes,1,"$218,250",Wells Fargo Championship
12,,J.T. Poston,1,"$218,250",Wells Fargo Championship
13,,Adam Schenk,1,"$218,250",Wells Fargo Championship
14,,Jason Day,1,"$141,750",Wells Fargo Championship
15,T2,Kurt Kitayama,1,"$141,750",Wells Fargo Championship
16,T29,C.T. Pan,1,"$141,750",Wells Fargo Championship
17,T13,Chez Reavie,1,"$141,750",Wells Fargo Championship
18,,Nick Taylor,1,"$141,750",Wells Fargo Championship
19,,Jhonattan Vegas,1,"$141,750",Wells Fargo Championship
20,,Corey Conners,1,"$98,100",Wells Fargo Championship
21,,Rickie Fowler,1,"$98,100",Wells Fargo Championship
22,,Sergio Garcia,1,"$98,100",Wells Fargo Championship
23,,Chad Ramey,1,"$98,100",Wells Fargo Championship
24,,Ryan Armour,1,"$69,150",Wells Fargo Championship
25,,Luke Donald,1,"$69,150",Wells Fargo Championship
26,,K.H. Lee,1,"$69,150",Wells Fargo Championship
27,,Denny McCarthy,1,"$69,150",Wells Fargo Championship
28,T65,Austin Smotherman,1,"$69,150",Wells Fargo Championship
29,,Matthew Wolff,1,"$69,150",Wells Fargo Championship
30,,Luke List,1,"$55,013",Wells Fargo Championship
31,T62,Justin Lower,1,"$55,013",Wells Fargo Championship
32,,Matthew NeSmith,1,"$55,013",Wells Fargo Championship
33,,Russell Knox,1,"$47,925",Wells Fargo Championship
34,,Troy Merritt,1,"$47,925",Wells Fargo Championship
35,T24,Michael Gligic,1,"$41,850",Wells Fargo Championship
36,,Tyrrell Hatton,1,"$41,850",Wells Fargo Championship
37,,Si Woo Kim,1,"$41,850",Wells Fargo Championship
38,T33,Scott Piercy,1,"$41,850",Wells Fargo Championship
39,T2,Tony Finau,1,"$33,750",Wells Fargo Championship
40,,Russell Henley,1,"$33,750",Wells Fargo Championship
41,T29,Hank Lebioda,1,"$33,750",Wells Fargo Championship
42,,Rory Sabbatini,1,"$33,750",Wells Fargo Championship
43,,Dawie van der Walt,1,"$33,750",Wells Fargo Championship
44,,Dylan Frittelli,1,"$26,670",Wells Fargo Championship
45,,David Lingmerth,1,"$26,670",Wells Fargo Championship
46,,Chase Seiffert,1,"$26,670",Wells Fargo Championship
47,T15,Kelly Kraft,1,"$23,490",Wells Fargo Championship
48,,Matt Kuchar,1,"$23,490",Wells Fargo Championship
49,,Paul Barjon,1,"$21,762",Wells Fargo Championship
50,,Joel Dahmen,1,"$21,762",Wells Fargo Championship
51,T15,Peter Malnati,1,"$21,762",Wells Fargo Championship
52,,Ben Martin,1,"$21,762",Wells Fargo Championship
53,,Brendan Steele,1,"$21,762",Wells Fargo Championship
54,T42,Abraham Ancer,1,"$20,790",Wells Fargo Championship
55,T59,Callum Tarren,1,"$20,790",Wells Fargo Championship
56,,Camilo Villegas,1,"$20,790",Wells Fargo Championship
57,T42,Ben Kohles,1,"$20,340",Wells Fargo Championship
58,,Henrik Norlander,1,"$20,340",Wells Fargo Championship
59,,Martin Laird,1,"$20,070",Wells Fargo Championship
60,,Kevin Chappell,1,"$19,800",Wells Fargo Championship
61,,Dylan Wu,1,"$19,800",Wells Fargo Championship
62,,Taylor Moore,1,"$19,440",Wells Fargo Championship
63,,Michael Thompson,1,"$19,440",Wells Fargo Championship
